x_S_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0,19.1959469,85.3068415,0.5205623,0.078506,13.9863533,-0.7062759
1.992982,18.0782272,86.9541646,0.6691892,0.0708338,13.885348,1.2398952
3.9859639,16.7399198,88.4275307,0.8029721,0.0628217,14.0621857,2.4570902
5.9789459,15.2259791,89.7242755,0.9190275,0.0536955,14.4062118,3.2744041
7.9719278,13.5826059,90.8477458,1.0219547,0.0498017,14.8522926,3.7832653
9.9649098,11.8336494,91.8039917,1.1176194,0.0457907,15.3515652,3.977306
11.9578917,10.0053109,92.5965266,1.2044993,0.0415092,15.8595067,4.1847354
13.9508737,8.117692,93.2366252,1.2811579,0.0353558,16.3769398,4.2617163
15.9438556,6.1899977,93.7420742,1.3454856,0.0290495,16.8876051,4.1378621
17.9368376,4.2371567,94.1350476,1.3967456,0.0224191,17.3690695,3.8993781
19.9298196,2.2672368,94.4404931,1.4350596,0.0160066,17.8108774,3.6634983
21.9228015,0.2894359,94.6831336,1.4596074,0.0075192,18.2161996,3.4569998
23.9157835,-1.6917134,94.8966229,1.4636396,-0.0034823,18.590573,3.2763871
25.9087654,-3.672208,95.1213456,1.4498423,-0.010134,18.9385576,3.1153335
27.9017474,-5.6472241,95.3850992,1.4260705,-0.0102578,19.2636074,2.9605503
29.8947293,-7.6171535,95.6876996,1.4132138,-0.002646,19.5675041,2.8083445
31.8877113,-9.5850528,96.002472,1.4126186,0.0018904,19.851478,2.6585143
33.8806932,-11.5541272,96.3097681,1.4209458,0.0067239,20.116608,1.5579135
35.8736752,-13.5273177,96.5905591,1.439734,0.0121276,20.2703652,-1.5646215
37.8666572,-15.5063424,96.8238192,1.4688408,0.0170616,20.1159435,-4.6136203
39.8596391,-17.4925618,96.9899017,1.5070612,0.0204606,19.6535355,-6.57622
41.8526211,-19.4835375,97.0751835,1.5494666,0.0221198,18.9749541,-6.6293713
43.845603,-21.4775138,97.073171,1.5943915,0.0229118,18.2653893,-6.5311052
45.838585,-23.4680916,96.9799277,1.6415601,0.0252236,17.5382923,-6.1257069
47.8315669,-25.4503817,96.7865563,1.6958687,0.0292944,16.8277999,-5.4180698
49.8245489,-27.4189815,96.4764493,1.7602856,0.0354559,16.1733923,-4.6952294
51.8175308,-29.3599986,96.0283784,1.836995,0.0413261,15.5840818,-4.0440219
53.8105128,-31.2579042,95.4220381,1.9249232,0.0469345,15.0580304,-3.4256694
55.8034948,-33.0903713,94.6408401,2.0247855,0.0534105,14.5975918,-2.7302959
57.7964767,-34.8296712,93.6692368,2.1377295,0.0596157,14.2199446,-2.139011
59.7894587,-36.440735,92.4985385,2.2628118,0.0660897,13.9169251,-1.5394903
61.7824406,-37.8851785,91.1278006,2.3986588,0.0704035,13.694687,-0.8686396
63.7754226,-39.1226437,89.5696438,2.5439324,0.0757835,13.5676853,-0.3295938
65.7684045,-40.1125787,87.8405186,2.7014912,0.0820711,13.519184,0.3515352
67.7613865,-40.8144036,85.9809401,2.8576986,0.0753633,13.5709079,0.992764
69.7543684,-41.2308497,84.0322579,3.0021111,0.0684214,13.7159274,1.9459147
71.7473504,-41.378175,82.044067,3.1305989,0.0607799,13.9958211,2.9515619
73.7403324,-41.2856827,80.0543541,-3.0408157,0.0514554,14.4099906,3.9441373
75.7333143,-40.9893367,78.0831381,-2.9466624,0.0432127,14.945535,4.5634227
77.7262963,-40.5247431,76.1463293,-2.868182,0.0356466,15.5421574,4.6940401
79.7192782,-39.9231901,74.2449911,-2.8047373,0.0279306,16.1328525,4.4646387
81.7122602,-39.2173778,72.3816698,-2.756922,0.0198986,16.6752757,4.2350328
83.7052421,-38.4387035,70.5484364,-2.7257774,0.011346,17.1739776,3.9991479
85.6982241,-37.6181478,68.7313089,-2.7121025,0.0023168,17.6319586,1.1782045
87.691206,-36.7898821,66.9193569,-2.7166498,-0.0069434,17.7646347,-2.676376
89.684188,-35.9867151,65.0959024,-2.7398742,-0.0163673,17.4617957,-5.7785711
91.67717,-35.2432534,63.2471307,-2.7816633,-0.0255596,16.789316,-5.689961
93.6701519,-34.5949267,61.3631472,-2.8416641,-0.0346165,16.0997253,-4.1817304
95.6631339,-34.0779789,59.4386329,-2.9197034,-0.0436893,15.5734687,-2.7876123
97.6561158,-33.7301409,57.4771223,-3.0153401,-0.0523735,15.2125476,-1.4482611
99.6490978,-33.5885301,55.4897933,-3.128122,-0.0599527,15.021614,-0.5337578
101.6420797,-33.6847833,53.5005721,3.0292391,-0.0665107,14.9506304,-0.0452263
103.6350617,-34.0395259,51.5407797,2.8957285,-0.0671619,14.9446003,0.1679535
105.6280436,-34.6523603,49.646417,2.7624024,-0.0647411,14.9669815,0.7324871
107.6210256,-35.5035809,47.845436,2.639827,-0.0584618,15.0642027,1.8447276
109.6140076,-36.5566623,46.1546741,2.53247,-0.0490594,15.3063131,3.2117155
111.6069895,-37.7702676,44.5744035,2.4441004,-0.0393653,15.7189377,4.1303673
113.5999715,-39.1039547,43.0939431,2.3759179,-0.0290978,16.2341768,4.4253395
115.5929534,-40.5215706,41.693481,2.3274503,-0.0195733,16.7686535,4.1945599
117.5859354,-41.9929124,40.3493111,2.2976287,-0.010686,17.2599857,3.8051175
119.5789173,-43.4927462,39.036814,2.2844309,-0.0025597,17.6939019,-0.9805457
121.5718993,-44.9990281,37.7317934,2.2878985,0.0060722,17.5831097,-5.2073776
123.5648812,-46.4893536,36.4086771,2.3086655,0.0148087,16.9826184,-8.4452252
125.5578632,-47.939947,35.0421652,2.3469793,0.023631,15.9607946,-7.065926
127.5508451,-49.3239024,33.6090157,2.4035157,0.0331752,15.0526555,-5.7414979
